url,resolution,mode,status,title,duration,video_id,publish_date,uploader,progress,start_time,end_time,output_path,error_message,task_type,steps
https://www.youtube.com/shorts/g2A_lVix03I,1080p,all,completed,Why can t dogs eat in small bites funnyvideos foryou fyp dogsoftiktok funnypets,69,g2A_lVix03I,20251213,Jackson Cole,,,,videos\Jackson Cole\20251213 Why can t dogs eat in small bites funnyvideos foryou fyp dogsoftiktok funnypets,download_only,0,
https://www.youtube.com/shorts/YcBp34xHd8M,1080p,all,completed,The new DJI Osmo Action 6 feels like a whole new category of action cam Anzeige,14,YcBp34xHd8M,20251121,Sebastian Schieren,,,,videos\Sebastian Schieren\20251121 The new DJI Osmo Action 6 feels like a whole new category of action cam Anzeige,download_only,0,
https://www.youtube.com/shorts/YYsMHttbhsA,1080p,all,completed,The wall looks like it s melting,50,YYsMHttbhsA,20251225,Justin Flom,,,,videos\Justin Flom\20251225 The wall looks like it s melting,download_only,0,
https://www.youtube.com/shorts/HTQRtnDbFfU,1080p,all,completed,strong password coding memes hacking,7,HTQRtnDbFfU,20250312,CodeWithGoutamChandra,,,,videos\CodeWithGoutamChandra\20250312 strong password coding memes hacking,download_only,0,
https://www.youtube.com/shorts/gGtuw7Rejtk,1080p,all,completed,How Strong Is Super Glue,43,gGtuw7Rejtk,20251121,Veritasium,,,,videos\Veritasium\20251121 How Strong Is Super Glue,full_process,"0,1,2,3,4,5,6,7",
https://www.youtube.com/shorts/HVySQLuxLkI,1080p,all,completed,Seeing Inside A Thermite Reaction,152,HVySQLuxLkI,20251110,Veritasium,,,,videos\Veritasium\20251110 Seeing Inside A Thermite Reaction,full_process,"0,1,2,3,4,5,6,7",
https://www.youtube.com/shorts/kh9OmFBg8qI,1080p,all,completed,How To See Atoms,64,kh9OmFBg8qI,20251017,Veritasium,,,,videos\Veritasium\20251017 How To See Atoms,full_process,"0,1,2,3,4,5,6,7",
https://www.youtube.com/shorts/S7xvqDUPoJo,1080p,all,completed,Renting A Helicopter To Settle A Physics Debate,94,S7xvqDUPoJo,20251009,Veritasium,,,,videos\Veritasium\20251009 Renting A Helicopter To Settle A Physics Debate,full_process,"0,1,2,3,4,5,6,7",
https://www.youtube.com/watch?v=dBap_Lp-0oc,1080p,all,completed,The Illusion Only Some People Can See,1016,dBap_Lp-0oc,20201231,Veritasium,,,,videos\Veritasium\20201231 The Illusion Only Some People Can See,full_process,"0,1,2,3,4,5,6,7",
https://www.youtube.com/shorts/Bb0uDpvitoE,1080p,all,completed,I Turned My Phone Into A Microscope,102,Bb0uDpvitoE,20251127,Veritasium,,,,videos\Veritasium\20251127 I Turned My Phone Into A Microscope,full_process,"0,1,2,3,4,5,6,7",
https://www.youtube.com/shorts/-abNj3Imno8,1080p,all,completed,ha ha ha ha ha ha ha ha funnydogs cutedog doglover viralshorts greyhoundtrust_uk,14,-abNj3Imno8,20240726,Goodest Woof,,,,videos\Goodest Woof\20240726 ha ha ha ha ha ha ha ha funnydogs cutedog doglover viralshorts greyhoundtrust_uk,download_only,0,
https://www.youtube.com/shorts/3XDjEG0yPdE,1080p,all,completed,Adorable Baby Kookaburra Laughs Like a Dinosaur cutebirds funnyvideo,15,3XDjEG0yPdE,20250313,Goodest Woof,,,,videos\Goodest Woof\20250313 Adorable Baby Kookaburra Laughs Like a Dinosaur cutebirds funnyvideo,full_process,"1,2,3,4,5,6,7",
https://www.youtube.com/shorts/ieW8-Qjs5rU,1080p,all,completed,Look at the genius idea he had with this tree that was in the middle of the backyard,60,ieW8-Qjs5rU,20251114,Alex Demuner,,,,videos\Alex Demuner\20251114 Look at the genius idea he had with this tree that was in the middle of the backyard,download_only,0,
